2023-10-19 15:13:48.911 [info] 




2023-10-19 15:13:48.977 [info] Extension host agent started.
2023-10-19 15:13:49.239 [info] Deleted uninstalled extension from disk github.copilot /home/mattmcgovern/.vscode-server/extensions/github.copilot-1.126.0
2023-10-19 15:13:49.240 [info] Deleted uninstalled extension from disk wallabyjs.quokka-vscode /home/mattmcgovern/.vscode-server/extensions/wallabyjs.quokka-vscode-1.0.569
2023-10-19 15:13:49.449 [info] [127.0.0.1][0ce5d76e][ManagementConnection] New connection established.
2023-10-19 15:13:50.081 [info] [127.0.0.1][3a19cabf][ExtensionHostConnection] New connection established.
2023-10-19 15:13:52.748 [info] [127.0.0.1][3a19cabf][ExtensionHostConnection] <1154> Launched Extension Host Process.
2023-10-19 15:14:02.696 [info] Getting Manifest... github.copilot
2023-10-19 15:14:05.741 [info] Installing extension: github.copilot
2023-10-19 15:14:14.598 [warning] Extension signature verification failed with error 'ENOENT': github.copilot
2023-10-19 15:14:15.232 [info] Extracted extension to file:///home/mattmcgovern/.vscode-server/extensions/github.copilot-1.128.0: github.copilot
2023-10-19 15:14:15.240 [info] Renamed to /home/mattmcgovern/.vscode-server/extensions/github.copilot-1.128.0
2023-10-19 15:14:15.244 [info] Extracting extension completed. github.copilot
2023-10-19 15:14:15.253 [info] Extension installed successfully: github.copilot
2023-10-19 15:14:15.261 [info] Marked extension as uninstalled github.copilot-1.127.0
2023-10-20 10:03:38.971 [info] [127.0.0.1][3a19cabf][ExtensionHostConnection] The client has reconnected.
2023-10-20 10:03:39.636 [info] [127.0.0.1][0ce5d76e][ManagementConnection] The client has reconnected.
2023-10-20 10:03:54.379 [info] [127.0.0.1][3a19cabf][ExtensionHostConnection] <1154> [0mGET /favicon.ico [33m404[0m 1.983 ms - 150[0m

2023-10-20 12:24:56.478 [info] [127.0.0.1][0ce5d76e][ManagementConnection] The client has reconnected.
2023-10-20 12:24:56.798 [info] [127.0.0.1][3a19cabf][ExtensionHostConnection] The client has reconnected.
2023-10-20 12:39:20.150 [info] [127.0.0.1][3a19cabf][ExtensionHostConnection] The client has reconnected.
2023-10-20 12:39:20.413 [info] [127.0.0.1][0ce5d76e][ManagementConnection] The client has reconnected.
2023-10-20 13:36:56.396 [info] [127.0.0.1][3a19cabf][ExtensionHostConnection] The client has reconnected.
